State,Year,Month,TelehealthType,ServiceType,ServiceCount,RatePer1000Beneficiaries,DataQuality
Alabama,2020,01,Live audio/video,All,2499,2.0,
Alabama,2020,01,Remote patient monitoring,All,63,0.1,
Alaska,2020,01,Live audio/video,All,1857,8.0,
Alaska,2020,01,Remote patient monitoring,All,0,0.0,
Alaska,2020,01,Store and forward,All,552,2.4,
Arizona,2020,01,Live audio/video,All,125665,64.6,
Arizona,2020,01,Remote patient monitoring,All,68,0.0,
Arkansas,2020,01,Live audio/video,All,3915,4.1,
Arkansas,2020,01,Remote patient monitoring,All,11,0.0,
Arkansas,2020,01,Store and forward,All,0,0.0,
California,2020,01,Live audio/video,All,67094,4.9,
California,2020,01,Other telehealth,All,338,0.0,
California,2020,01,Remote patient monitoring,All,712,0.1,
California,2020,01,Store and forward,All,4057,0.3,
Colorado,2020,01,Live audio/video,All,3764,2.9,
Colorado,2020,01,Remote patient monitoring,All,83,0.1,
Connecticut,2020,01,Live audio/video,All,242,0.2,
Connecticut,2020,01,Remote patient monitoring,All,439,0.4,
Delaware,2020,01,Live audio/video,All,1398,5.6,
District of Columbia,2020,01,Live audio/video,All,1660,6.3,
District of Columbia,2020,01,Other telehealth,All,0,0.0,
Florida,2020,01,Live audio/video,All,12619,2.8,
Florida,2020,01,Other telehealth,All,13,0.0,
Florida,2020,01,Remote patient monitoring,All,187,0.0,
Florida,2020,01,Store and forward,All,11,0.0,
Georgia,2020,01,Live audio/video,All,8733,4.0,
Georgia,2020,01,Other telehealth,All,289,0.1,
Georgia,2020,01,Remote patient monitoring,All,91,0.0,
Hawaii,2020,01,Live audio/video,All,1130,3.3,
Hawaii,2020,01,Remote patient monitoring,All,15,0.0,
Idaho,2020,01,Live audio/video,All,797,2.3,
Idaho,2020,01,Other telehealth,All,0,0.0,
Idaho,2020,01,Remote patient monitoring,All,0,0.0,
Idaho,2020,01,Store and forward,All,0,0.0,
Illinois,2020,01,Live audio/video,All,2066,0.7,
Illinois,2020,01,Other telehealth,All,12,0.0,
Illinois,2020,01,Remote patient monitoring,All,14,0.0,
Indiana,2020,01,Live audio/video,All,4601,3.1,
Iowa,2020,01,Live audio/video,All,5360,7.6,
Iowa,2020,01,Remote patient monitoring,All,26,0.0,
Kansas,2020,01,Live audio/video,All,4894,11.7,
Kansas,2020,01,Remote patient monitoring,All,0,0.0,
Kansas,2020,01,Store and forward,All,0,0.0,
Kentucky,2020,01,Live audio/video,All,9707,6.2,
Louisiana,2020,01,Live audio/video,All,4674,2.8,
Louisiana,2020,01,Other telehealth,All,0,0.0,
Louisiana,2020,01,Remote patient monitoring,All,141,0.1,
Maine,2020,01,Live audio/video,All,3188,10.3,Unusable
Maine,2020,01,Remote patient monitoring,All,15,0.0,Unusable
Maine,2020,01,Store and forward,All,0,0.0,Unusable
Maryland,2020,01,Live audio/video,All,6409,4.5,
Maryland,2020,01,Other telehealth,All,27,0.0,
Maryland,2020,01,Remote patient monitoring,All,198,0.1,
Massachusetts,2020,01,Live audio/video,All,1502,0.8,
Massachusetts,2020,01,Other telehealth,All,53,0.0,
Massachusetts,2020,01,Remote patient monitoring,All,22,0.0,
Michigan,2020,01,Live audio/video,All,7997,3.2,
Michigan,2020,01,Other telehealth,All,162,0.1,
Michigan,2020,01,Remote patient monitoring,All,49,0.0,
Michigan,2020,01,Store and forward,All,12,0.0,
Minnesota,2020,01,Live audio/video,All,8993,8.4,
Minnesota,2020,01,Other telehealth,All,667,0.6,
Mississippi,2020,01,Live audio/video,All,1871,2.5,
Mississippi,2020,01,Other telehealth,All,26,0.0,
Missouri,2020,01,Live audio/video,All,9669,10.2,
Missouri,2020,01,Remote patient monitoring,All,29,0.0,
Missouri,2020,01,Store and forward,All,14,0.0,
Montana,2020,01,Live audio/video,All,3027,11.4,
Montana,2020,01,Other telehealth,All,0,0.0,
Nebraska,2020,01,Live audio/video,All,784,3.1,
Nebraska,2020,01,Remote patient monitoring,All,19,0.1,
Nebraska,2020,01,Store and forward,All,0,0.0,
Nevada,2020,01,Live audio/video,All,2270,3.4,
Nevada,2020,01,Remote patient monitoring,All,169,0.2,
Nevada,2020,01,Store and forward,All,0,0.0,
New Hampshire,2020,01,Live audio/video,All,619,3.1,
