State,Year,Month,TelehealthType,ServiceType,ServiceCount,RatePer1000Beneficiaries,DataQuality
Alabama,2019,01,Live audio/video,All,2500,1.9,
Alabama,2019,01,Other telehealth,All,0,0.0,
Alabama,2019,01,Store and forward,All,0,0.0,
Alaska,2019,01,Live audio/video,All,1168,5.2,
Alaska,2019,01,Other telehealth,All,0,0.0,
Alaska,2019,01,Store and forward,All,490,2.2,
Arizona,2019,01,Live audio/video,All,102281,52.6,
Arkansas,2019,01,Live audio/video,All,4109,4.3,
Arkansas,2019,01,Store and forward,All,0,0.0,
California,2019,01,Live audio/video,All,38701,2.7,
California,2019,01,Other telehealth,All,229,0.0,
California,2019,01,Remote patient monitoring,All,228,0.0,
California,2019,01,Store and forward,All,1302,0.1,
Colorado,2019,01,Live audio/video,All,1727,1.3,
Colorado,2019,01,Store and forward,All,0,0.0,
Connecticut,2019,01,Live audio/video,All,50,0.1,
Delaware,2019,01,Live audio/video,All,1871,7.5,
Delaware,2019,01,Other telehealth,All,0,0.0,
Delaware,2019,01,Store and forward,All,0,0.0,
District of Columbia,2019,01,Live audio/video,All,768,2.9,
District of Columbia,2019,01,Remote patient monitoring,All,0,0.0,
Florida,2019,01,Live audio/video,All,4604,1.0,
Florida,2019,01,Other telehealth,All,0,0.0,
Florida,2019,01,Remote patient monitoring,All,12,0.0,
Georgia,2019,01,Live audio/video,All,6810,3.1,
Georgia,2019,01,Other telehealth,All,289,0.1,
Georgia,2019,01,Store and forward,All,0,0.0,
Hawaii,2019,01,Live audio/video,All,852,2.4,
Hawaii,2019,01,Remote patient monitoring,All,0,0.0,
Idaho,2019,01,Live audio/video,All,600,2.0,
Idaho,2019,01,Other telehealth,All,0,0.0,
Idaho,2019,01,Remote patient monitoring,All,0,0.0,
Illinois,2019,01,Live audio/video,All,1052,0.4,
Illinois,2019,01,Store and forward,All,0,0.0,
Indiana,2019,01,Live audio/video,All,2728,1.9,
Indiana,2019,01,Other telehealth,All,0,0.0,
Indiana,2019,01,Remote patient monitoring,All,0,0.0,
Iowa,2019,01,Live audio/video,All,6130,8.8,
Iowa,2019,01,Store and forward,All,0,0.0,
Kansas,2019,01,Live audio/video,All,3876,9.1,
Kansas,2019,01,Remote patient monitoring,All,0,0.0,
Kansas,2019,01,Store and forward,All,0,0.0,
Kentucky,2019,01,Live audio/video,All,5111,3.2,
Kentucky,2019,01,Other telehealth,All,28,0.0,
Kentucky,2019,01,Store and forward,All,0,0.0,
Louisiana,2019,01,Live audio/video,All,5557,3.3,
Louisiana,2019,01,Remote patient monitoring,All,12,0.0,
Louisiana,2019,01,Store and forward,All,0,0.0,
Maine,2019,01,Live audio/video,All,4887,17.3,
Maine,2019,01,Other telehealth,All,0,0.0,
Maine,2019,01,Store and forward,All,0,0.0,
Maryland,2019,01,Live audio/video,All,4108,2.9,
Maryland,2019,01,Other telehealth,All,11,0.0,
Maryland,2019,01,Remote patient monitoring,All,42,0.0,
Massachusetts,2019,01,Live audio/video,All,946,0.5,
Massachusetts,2019,01,Store and forward,All,0,0.0,
Michigan,2019,01,Live audio/video,All,5677,2.3,
Michigan,2019,01,Other telehealth,All,23,0.0,
Minnesota,2019,01,Live audio/video,All,6362,5.8,
Minnesota,2019,01,Remote patient monitoring,All,0,0.0,
Minnesota,2019,01,Store and forward,All,0,0.0,
Mississippi,2019,01,Live audio/video,All,1184,1.6,
Mississippi,2019,01,Store and forward,All,12,0.0,
Missouri,2019,01,Live audio/video,All,4378,4.4,
Missouri,2019,01,Remote patient monitoring,All,13,0.0,
Missouri,2019,01,Store and forward,All,31,0.0,
Montana,2019,01,Live audio/video,All,3169,10.2,
Montana,2019,01,Other telehealth,All,0,0.0,
Montana,2019,01,Remote patient monitoring,All,0,0.0,
Montana,2019,01,Store and forward,All,0,0.0,
Nebraska,2019,01,Live audio/video,All,635,2.5,
