State,Year,Month,TelehealthType,ServiceType,ServiceCount,RatePer1000Beneficiaries,DataQuality
Alabama,2018,01,Live audio/video,All,6905,5.6,
Alabama,2018,01,Other telehealth,All,0,0.0,
Alabama,2018,01,Remote patient monitoring,All,0,0.0,
Alabama,2018,01,Store and forward,All,0,0.0,
Alaska,2018,01,Live audio/video,All,907,4.3,
Alaska,2018,01,Other telehealth,All,0,0.0,
Alaska,2018,01,Remote patient monitoring,All,0,0.0,
Alaska,2018,01,Store and forward,All,459,2.2,
Arizona,2018,01,Live audio/video,All,54546,27.6,
Arizona,2018,01,Other telehealth,All,0,0.0,
Arizona,2018,01,Remote patient monitoring,All,0,0.0,
Arkansas,2018,01,Live audio/video,All,386,0.4,
Arkansas,2018,01,Other telehealth,All,0,0.0,
Arkansas,2018,01,Remote patient monitoring,All,0,0.0,
California,2018,01,Live audio/video,All,29022,2.0,
California,2018,01,Other telehealth,All,50,0.0,
California,2018,01,Remote patient monitoring,All,62,0.0,
California,2018,01,Store and forward,All,975,0.1,
Colorado,2018,01,Live audio/video,All,341,0.2,
Colorado,2018,01,Other telehealth,All,0,0.0,
Connecticut,2018,01,Live audio/video,All,34,0.0,
Connecticut,2018,01,Other telehealth,All,0,0.0,
Connecticut,2018,01,Remote patient monitoring,All,0,0.0,
Delaware,2018,01,Live audio/video,All,969,3.9,
Delaware,2018,01,Other telehealth,All,0,0.0,
Delaware,2018,01,Remote patient monitoring,All,0,0.0,
Delaware,2018,01,Store and forward,All,0,0.0,
District of Columbia,2018,01,Live audio/video,All,598,2.2,
District of Columbia,2018,01,Other telehealth,All,0,0.0,
District of Columbia,2018,01,Remote patient monitoring,All,0,0.0,
District of Columbia,2018,01,Store and forward,All,0,0.0,
Florida,2018,01,Live audio/video,All,80,0.0,
Florida,2018,01,Remote patient monitoring,All,0,0.0,
Florida,2018,01,Store and forward,All,0,0.0,
Georgia,2018,01,Live audio/video,All,5489,2.5,
Georgia,2018,01,Other telehealth,All,273,0.1,
Hawaii,2018,01,Live audio/video,All,923,2.5,
Hawaii,2018,01,Other telehealth,All,0,0.0,
Hawaii,2018,01,Remote patient monitoring,All,0,0.0,
Idaho,2018,01,Live audio/video,All,389,1.2,
Idaho,2018,01,Other telehealth,All,0,0.0,
Idaho,2018,01,Remote patient monitoring,All,0,0.0,
Idaho,2018,01,Store and forward,All,0,0.0,
Illinois,2018,01,Live audio/video,All,870,0.3,
Indiana,2018,01,Live audio/video,All,1675,1.1,
Indiana,2018,01,Other telehealth,All,0,0.0,
Indiana,2018,01,Remote patient monitoring,All,23,0.0,
Indiana,2018,01,Store and forward,All,0,0.0,
Iowa,2018,01,Live audio/video,All,4991,7.4,
Kansas,2018,01,Live audio/video,All,2166,5.0,
Kansas,2018,01,Other telehealth,All,0,0.0,
Kansas,2018,01,Remote patient monitoring,All,0,0.0,
Kentucky,2018,01,Live audio/video,All,3441,2.1,
Kentucky,2018,01,Other telehealth,All,0,0.0,
Kentucky,2018,01,Remote patient monitoring,All,0,0.0,
Kentucky,2018,01,Store and forward,All,0,0.0,
Louisiana,2018,01,Live audio/video,All,4672,2.8,
Louisiana,2018,01,Other telehealth,All,0,0.0,
Maine,2018,01,Live audio/video,All,1754,6.4,
Maine,2018,01,Remote patient monitoring,All,0,0.0,
Maine,2018,01,Store and forward,All,0,0.0,
Maryland,2018,01,Live audio/video,All,2772,2.0,
Maryland,2018,01,Store and forward,All,0,0.0,
Massachusetts,2018,01,Live audio/video,All,365,0.2,
Massachusetts,2018,01,Other telehealth,All,21,0.0,
Massachusetts,2018,01,Remote patient monitoring,All,0,0.0,
Michigan,2018,01,Live audio/video,All,5328,2.1,
Michigan,2018,01,Remote patient monitoring,All,0,0.0,
Michigan,2018,01,Store and forward,All,0,0.0,
Minnesota,2018,01,Live audio/video,All,5917,5.1,
Minnesota,2018,01,Store and forward,All,0,0.0,
Mississippi,2018,01,Live audio/video,All,951,1.2,
Mississippi,2018,01,Store and forward,All,16,0.0,
Missouri,2018,01,Live audio/video,All,3951,3.7,
Missouri,2018,01,Remote patient monitoring,All,14,0.0,
Missouri,2018,01,Store and forward,All,33,0.0,
Montana,2018,01,Live audio/video,All,2443,7.9,
Montana,2018,01,Other telehealth,All,0,0.0,
Nebraska,2018,01,Live audio/video,All,588,2.3,
Nebraska,2018,01,Other telehealth,All,0,0.0,
Nevada,2018,01,Live audio/video,All,1542,2.2,
Nevada,2018,01,Other telehealth,All,0,0.0,
Nevada,2018,01,Remote patient monitoring,All,21,0.0,
New Hampshire,2018,01,Live audio/video,All,269,1.3,
New Hampshire,2018,01,Other telehealth,All,0,0.0,
New Hampshire,2018,01,Remote patient monitoring,All,0,0.0,
New Hampshire,2018,01,Store and forward,All,0,0.0,
New Jersey,2018,01,Live audio/video,All,890,0.5,
New Jersey,2018,01,Remote patient monitoring,All,62,0.0,
New Jersey,2018,01,Store and forward,All,0,0.0,
New Mexico,2018,01,Live audio/video,All,2342,2.7,
New Mexico,2018,01,Store and forward,All,16,0.0,
New York,2018,01,Live audio/video,All,1158,0.2,
New York,2018,01,Other telehealth,All,22,0.0,
New York,2018,01,Remote patient monitoring,All,298,0.0,
New York,2018,01,Store and forward,All,45,0.0,
North Carolina,2018,01,Live audio/video,All,3835,1.7,
North Carolina,2018,01,Other telehealth,All,0,0.0,
North Carolina,2018,01,Store and forward,All,0,0.0,
North Dakota,2018,01,Live audio/video,All,831,8.4,
North Dakota,2018,01,Store and forward,All,0,0.0,
Ohio,2018,01,Live audio/video,All,7410,2.5,
Ohio,2018,01,Other telehealth,All,0,0.0,
Oklahoma,2018,01,Live audio/video,All,2332,2.8,
Oklahoma,2018,01,Other telehealth,All,30,0.0,
Oklahoma,2018,01,Store and forward,All,0,0.0,
Oregon,2018,01,Live audio/video,All,4856,4.4,
Oregon,2018,01,Store and forward,All,0,0.0,
Pennsylvania,2018,01,Live audio/video,All,4140,1.4,
Puerto Rico,2018,01,Live audio/video,All,55,0.0,Unusable
Puerto Rico,2018,01,Other telehealth,All,0,0.0,Unusable
Puerto Rico,2018,01,Store and forward,All,0,0.0,Unusable
Rhode Island,2018,01,Other telehealth,All,0,0.0,
Rhode Island,2018,01,Remote patient monitoring,All,0,0.0,
Rhode Island,2018,01,Store and forward,All,0,0.0,
South Carolina,2018,01,Live audio/video,All,1183,0.9,
South Carolina,2018,01,Remote patient monitoring,All,0,0.0,
South Carolina,2018,01,Store and forward,All,0,0.0,
South Dakota,2018,01,Live audio/video,All,295,2.4,
South Dakota,2018,01,Remote patient monitoring,All,0,0.0,
South Dakota,2018,01,Store and forward,All,0,0.0,
Tennessee,2018,01,Live audio/video,All,2253,1.3,
Tennessee,2018,01,Store and forward,All,0,0.0,
Texas,2018,01,Live audio/video,All,11418,2.3,
Texas,2018,01,Other telehealth,All,134,0.0,
Texas,2018,01,Remote patient monitoring,All,29,0.0,
Texas,2018,01,Store and forward,All,347,0.1,
Utah,2018,01,Live audio/video,All,137,0.4,Unusable
Utah,2018,01,Remote patient monitoring,All,0,0.0,Unusable
Utah,2018,01,Store and forward,All,0,0.0,Unusable
Vermont,2018,01,Live audio/video,All,20,0.1,
Vermont,2018,01,Other telehealth,All,173,1.0,
Vermont,2018,01,Remote patient monitoring,All,0,0.0,
Vermont,2018,01,Store and forward,All,0,0.0,
Virgin Islands,2018,01,Live audio/video,All,0,0.0,Unusable
Virgin Islands,2018,01,Other telehealth,All,0,0.0,Unusable
Virgin Islands,2018,01,Remote patient monitoring,All,0,0.0,Unusable
Virgin Islands,2018,01,Store and forward,All,0,0.0,Unusable
Virginia,2018,01,Live audio/video,All,1472,1.2,
Washington,2018,01,Live audio/video,All,4980,2.7,
Washington,2018,01,Store and forward,All,0,0.0,
West Virginia,2018,01,Live audio/video,All,995,1.7,
West Virginia,2018,01,Other telehealth,All,0,0.0,
West Virginia,2018,01,Remote patient monitoring,All,11,0.0,
Wisconsin,2018,01,Live audio/video,All,3929,3.4,
Wisconsin,2018,01,Remote patient monitoring,All,0,0.0,
Wyoming,2018,01,Live audio/video,All,379,5.5,
Wyoming,2018,01,Other telehealth,All,0,0.0,
Wyoming,2018,01,Store and forward,All,0,0.0,
Alabama,2018,02,Live audio/video,All,4821,3.9,
Alabama,2018,02,Other telehealth,All,0,0.0,
Alabama,2018,02,Remote patient monitoring,All,0,0.0,
Alabama,2018,02,Store and forward,All,0,0.0,
Alaska,2018,02,Live audio/video,All,858,4.0,
Alaska,2018,02,Other telehealth,All,0,0.0,
Alaska,2018,02,Store and forward,All,405,1.9,
Arizona,2018,02,Live audio/video,All,48765,25.0,
Arizona,2018,02,Remote patient monitoring,All,0,0.0,
Arizona,2018,02,Store and forward,All,17,0.0,
Arkansas,2018,02,Live audio/video,All,385,0.4,
Arkansas,2018,02,Remote patient monitoring,All,0,0.0,
Arkansas,2018,02,Store and forward,All,0,0.0,
California,2018,02,Live audio/video,All,26185,1.8,
California,2018,02,Other telehealth,All,63,0.0,
California,2018,02,Remote patient monitoring,All,60,0.0,
California,2018,02,Store and forward,All,916,0.1,
Colorado,2018,02,Live audio/video,All,353,0.3,
Connecticut,2018,02,Live audio/video,All,18,0.0,
Connecticut,2018,02,Other telehealth,All,0,0.0,
Connecticut,2018,02,Remote patient monitoring,All,0,0.0,
Delaware,2018,02,Live audio/video,All,1081,4.4,
Delaware,2018,02,Other telehealth,All,0,0.0,
Delaware,2018,02,Remote patient monitoring,All,0,0.0,
Delaware,2018,02,Store and forward,All,0,0.0,
District of Columbia,2018,02,Live audio/video,All,562,2.1,
District of Columbia,2018,02,Other telehealth,All,0,0.0,
District of Columbia,2018,02,Remote patient monitoring,All,0,0.0,
District of Columbia,2018,02,Store and forward,All,0,0.0,
Florida,2018,02,Live audio/video,All,65,0.0,
Florida,2018,02,Other telehealth,All,0,0.0,
Florida,2018,02,Remote patient monitoring,All,0,0.0,
Florida,2018,02,Store and forward,All,0,0.0,
Georgia,2018,02,Live audio/video,All,5326,2.5,
Georgia,2018,02,Other telehealth,All,259,0.1,
Hawaii,2018,02,Live audio/video,All,820,2.3,
Hawaii,2018,02,Remote patient monitoring,All,0,0.0,
Idaho,2018,02,Live audio/video,All,359,1.2,
Idaho,2018,02,Other telehealth,All,0,0.0,
